document_id,record_type,crfn,recorded_borough,doc_type,document_date,document_amt,recorded_datetime,modified_date,reel_yr,reel_nbr,reel_pg,percent_trans,good_through_date
2026031500900001,A,2026000111111,1,LP,03/15/2026,0,2026-03-15T10:30:00.000,2026-03-16T08:00:00.000,0,0,0,100,2026-04-30T00:00:00.000
2026032000900002,A,2026000222222,1,LIS,03/20/2026,0,2026-03-20T11:00:00.000,2026-03-21T08:00:00.000,0,0,0,100,2026-04-30T00:00:00.000
2026040100900003,A,2026000333333,1,FORE,04/01/2026,1500000,2026-04-01T09:00:00.000,2026-04-02T08:00:00.000,0,0,0,100,2026-04-30T00:00:00.000
2026020500900004,A,2026000444444,1,EATR,02/05/2026,2500000,2026-02-05T14:00:00.000,2026-02-06T08:00:00.000,0,0,0,100,2026-04-30T00:00:00.000
2026031000900005,A,2026000555555,1,TAX,03/10/2026,75000,2026-03-10T15:00:00.000,2026-03-11T08:00:00.000,0,0,0,100,2026-04-30T00:00:00.000
2026032500900006,A,2026000666666,1,DEED,03/25/2026,2000000,2026-03-25T10:00:00.000,2026-03-26T08:00:00.000,0,0,0,100,2026-04-30T00:00:00.000
2026032500900007,A,2026000777777,3,LP,03/25/2026,0,2026-03-25T10:00:00.000,2026-03-26T08:00:00.000,0,0,0,100,2026-04-30T00:00:00.000
2020031500900008,A,2020000888888,1,LP,03/15/2020,0,2020-03-15T10:00:00.000,2020-03-16T08:00:00.000,0,0,0,100,2026-04-30T00:00:00.000
2026041500900009,A,2026000999999,1,EXECUTOR,04/15/2026,0,2026-04-15T10:00:00.000,2026-04-16T08:00:00.000,0,0,0,100,2026-04-30T00:00:00.000
2026042000900010,A,2026001000000,1,LP,04/20/2026,0,2026-04-20T10:00:00.000,2026-04-21T08:00:00.000,0,0,0,100,2026-04-30T00:00:00.000
